,Unnamed: 0,subjectID,iTrial,video,action,condition,rating,rt,survey,nTrials,Index
227,639,7,9,brushTableBroom_absent,brushTableBroom,absent,1,9765,turn a page,29,639
228,637,7,7,openCan_absent,openCan,absent,3,5215,open a soda can,29,637
229,636,7,6,snipScissors_absent,snipScissors,absent,6,4790,to be quite,29,636
230,635,7,5,drawLine_far,drawLine,far,2,9184,take the pencil,29,635
231,634,7,4,peelPostIt_far,peelPostIt,far,6,8100,grab a stickynote,29,634
232,633,7,3,foldNapkin_absent,foldNapkin,absent,2,11068,hand signal to bring in something or turn in something,29,633
233,632,7,2,drinkCup_do,drinkCup,do,7,4211,drinking from a cup,29,632
234,631,7,1,blowCandle_do,blowCandle,do,4,10077,smelling a scent,29,631
235,658,7,28,crushBottle_do,crushBottle,do,7,2712,squeeze an empty bottle for recycling,29,658
236,630,7,0,dispenseSoap_far,dispenseSoap,far,7,9863,pressing down on handsanitizer bottle,29,630
237,643,7,13,igniteLighter_far,igniteLighter,far,7,3988,light up the lighter,29,643
238,659,7,29,closeJar_absent,closeJar,absent,7,3807,twist open or close a container lid,29,659
239,646,7,16,zipPlasticBag_far,zipPlasticBag,far,7,3132,zip up a bag,29,646
240,683,8,23,crushBottle_far,crushBottle,far,5,6824,"Her reaching out her hand to the shaking and empty bottle but pulling her hand back at the end seems like i just finished the water and put the bottle down but she wanted me to hand her the bottle so she could drink some yet realized I finished it so she thought ""nevermind."" but this may be a signal for me to be a nice person and get her more water.",29,683
241,687,8,27,blowCandle_far,blowCandle,far,5,5840,"since she's weakly and farly blowing out the candle, I think she's trying to signal to me to do it for her due to her low effort. ",29,687
242,686,8,26,snipScissors_do,snipScissors,do,4,7711,"she seems to want to cut something and the way the scissors are fully in the air/in my view, makes me feel like she wants me to do something about it. ",29,686
243,685,8,25,foldNapkin_do,foldNapkin,do,1,4639,"she seems to be folding her own tissue to use it, but since her arms are sticking out a little, it makes me wonder if shes putting it out for me to use?",29,685
244,684,8,24,eraseMark_do,eraseMark,do,2,6887,"she seems to be erasing something herself which isn't involving me but since i see her struggling to actually erase the mark, I would probably try to help her actually erase it. ",29,684
